farmer_gender,region,land_size_acres,rainfall_level,crop_type,loan_amount,subsidy_approved
female,drought,1.2,low,wheat,25000,0
female,drought,1.5,low,maize,30000,0
female,drought,2.0,medium,millet,35000,0
female,drought,2.5,medium,pulses,40000,0
female,drought,3.0,high,wheat,45000,1
female,normal,2.0,medium,rice,30000,1
female,normal,3.5,high,sugarcane,50000,1
female,normal,4.0,high,rice,55000,1
female,coastal,2.8,high,coconut,48000,1
female,coastal,3.2,high,rice,52000,1
male,drought,1.2,low,wheat,25000,0
male,drought,1.8,medium,maize,32000,1
male,drought,2.5,medium,millet,38000,1
male,drought,3.0,high,pulses,42000,1
male,drought,3.5,high,wheat,47000,1
male,normal,2.2,medium,rice,32000,1
male,normal,3.8,high,sugarcane,52000,1
male,normal,4.5,high,rice,58000,1
male,coastal,2.5,high,coconut,46000,1
male,coastal,3.5,high,rice,54000,1
female,drought,1.0,low,maize,22000,0
female,drought,1.7,low,pulses,28000,0
female,normal,2.6,medium,wheat,36000,1
female,normal,3.0,high,rice,42000,1
male,drought,1.4,low,millet,26000,0
male,drought,2.2,medium,wheat,34000,1
male,normal,2.8,medium,rice,40000,1
male,coastal,4.0,high,coconut,60000,1
female,coastal,2.2,medium,coconut,43000,1
female,coastal,1.8,medium,rice,39000,1
